答弁・約束台帳 バックフィル候補 159件（2026-07-08抽出・全件逐語検証済）
承認方法：「全承認」または「R0706-02 除外」のようにID指定

■ H30-12
H3012-01 [検討約束] リニア亀山駅・土地利用の事前検討（市長）
    「土地利用等々も含めて、保全すべきものはしっかり保全させる、あるいは必要な措置をしかるべき段階でと…」 回収時期: 駅位置公表（2023年見込み）までの継続案件・不明
H3012-02 [実施約束] リニア機運醸成シンポジウムの予算化（総合政策部長）
    「来年度は特に亀山市民会議におきまして、リニアのシンポジウムというのを予算化しておりまして、このシ…」 回収時期: H31年度（2019年度）中の開催
H3012-03 [検討約束] 東南部地域の無秩序開発抑制（土地利用制度・自主条例）（産業建設部参事）
    「用途地域外での開発をできる限り抑制するため、亀山市にふさわしい土地利用制度の運用検討を進めていき…」 回収時期: 都市マスタープラン策定（H31.3議案第36号）以降・不明
H3012-04 [実施約束] 昼生地区アンダーパス冠水対策（県道鈴鹿芸濃線×JR紀勢線）（産業建設部参事）
    「今後は強制排水などの手法も検討する必要があることから、予算確保に努めていただけると伺っております…」 回収時期: 県の予算確保待ち・不明
H3012-05 [ゼロ回答] 東南部地域のリニア駅適地評価（総合政策部長）
    「今、適しておるかどうかということにつきましては、ちょっとコメントは差し控えさせていただきたいとい…」 回収時期: 駅位置公表（2023年見込み）後に再質問可能
■ H31-03
H3103-01 [実施約束] 放課後児童クラブ職員配置基準の現行維持（健康福祉部次長）
    「市といたしましては、子供たちにとって安心・安全な居場所となるよう、職員配置につきましては現行の基…」 回収時期: R1.6議会の基準条例改正（議案第46号）で確認可能
H3103-02 [検討約束] 放課後児童支援員の処遇改善・フルタイム化の仕組みづくり（健康福祉部次長）
    「議員にいただきました貴重な提案といたしまして、支援員の処遇、それから働き方等、いろいろな情報を集…」 回収時期: 不明（キャリアアップ処遇改善事業の未実施も併せて追跡）
H3103-03 [検討約束] 亀山インターチェンジ周辺の新産業団地検討（産業建設部長）
    「亀山市都市マスタープランにおきましては、この地域に隣接する亀山インターチェンジ周辺、これを新たな…」 回収時期: 不明（都市マスタープラン期間内）
H3103-04 [検討約束] 環境基本計画見直しでの分散型エネルギー検討（市長）
    「環境基本計画の見直し時期ということになっておりますので、しっかりその検証をし、今後の展望をしっか…」 回収時期: 環境基本計画の見直し完了時
H3103-05 [ゼロ回答] テクノヒルズ全区画売約の具体的目標時期（産業建設部長）
    「具体的な目標ということでございますが、先ほどもご答弁させていただきましたとおり、そう遠くない時期…」 回収時期: 残4区画（うち2区画は売買契約協議中）の立地協定締結時に回収
■ R01-06
R0106-01 [検討約束] 新図書館へのAI・RPA等新技術導入（教育委員会事務局参事）
    「目下進めております図書館情報システムの更新に当たりましては、今後予測される多様な展開に柔軟に対応…」 回収時期: 図書館情報システム更新時・図書館管理運営計画策定時
R0106-02 [検討約束] Society5.0の活用可能性検討（市長）
    「今後もソサエティー５.０の取り組みが、地方自治体におきましても持続的な都市の発展を支えるための効…」 回収時期: 第2次総合計画後期基本計画（2022〜2025）策定時
R0106-03 [検討約束] 後期基本計画へのリニア関連施策の位置づけ（総合政策部長）
    「今後、第２次総合計画後期基本計画の策定作業の中で、リニアの動向をしっかり見据えた上で総合計画上の…」 回収時期: 後期基本計画策定作業（2021年度頃）で回収
R0106-04 [検討約束] リニア基金の必要額見直しと国・県との費用負担協議（総合政策部長）
    「まずはこの目標額達成に向けて計画的に積み立てを行いますとともに、駅の概略位置の公表を見据えながら…」 回収時期: 駅概略位置の公表（2023年見込み）前後
R0106-05 [数字約束] 防災ハザードマップ2年間での策定と指定緊急避難場所の検討（危機管理監）
    「防災ハザードマップをことしから来年、２年間でつくってまいりますので、そのハザードマップを見直しな…」 回収時期: R2年度（2020年度）中の防災ハザードマップ策定
R0106-06 [実施約束] ため池決壊想定の避難訓練・防災教育（教育部長）
    「避難訓練であったり引き渡し訓練を学期ごとに１回実施していますので、ため池が決壊した場合を想定した…」 回収時期: R1年度中の訓練実施（学期ごと1回の訓練に組み込み）
■ R01-09
R0109-01 [検討約束] 会計年度任用職員の兼業労働時間把握（総合政策部長）
    「副業に係る労働時間も含め、法定労働時間、つまり８時間を超えて労働させる場合には、当該労働時間を超…」 回収時期: 会計年度任用職員制度施行のR2年度当初（2020-04）
R0109-02 [数字約束] 非常勤職員の正規移行人数の整理（第4次定員適正化計画）（総合政策部長）
    「この中で全ての職員が正規に変わっていくという考え方ではなく、その中で適材適所の中で正規に移行して…」 回収時期: 第4次定員適正化計画の策定時（策定中と答弁）
R0109-03 [ゼロ回答] 給食費（副食費）を含めた幼保無償化（健康福祉部参事）
    「今回の幼児教育・保育の無償化につきましては、国の制度でございまして、その基本的な考え方として、副…」 回収時期: 不明（他市町動向調査を草川が要望）
R0109-04 [検討約束] 新たな産業団地（工業適地）の検討（産業建設部長）
    「今後の立地環境ポテンシャルの高まりを考えますと、議員が申されますような企業の受け皿となる新たな工…」 回収時期: 不明（草川は2027年目標を提示）
R0109-05 [検討約束] 航空宇宙産業に特化した産業奨励制度（産業建設部長）
    「本市の奨励金制度でございますが、現在航空宇宙関連産業を対象にはしておりますものの、鈴鹿市のような…」 回収時期: R3年度（現行奨励金制度の期限）の制度見直し時
R0109-06 [実施約束] 市街地再開発組合への市の理事参画（産業建設部次長）
    「市といたしましては、保留床取得者として利用推進に参画することは重要であると考えておりまして、理事…」 回収時期: 組合定款変更承認後の早期（人選は未定・市職員から選ぶと答弁）
■ R01-12
R0112-01 [検討約束] 地域包括ケア病床増床に伴うリハビリ職員の増強（地域医療部長）
    「多分この８床ふえることによってぎりぎりまでの線になってこようかと思います。ですので、来年度以降、…」 回収時期: R2年度以降（増床は来年4月＝2020-04開始）
R0112-02 [ゼロ回答] 医療的ケア児のレスパイトケア受け入れ（地域医療部長）
    「現在は、看護師がその小児の、特に医療を必要とされる小児の方のケアというものは非常にまだまだ知識も…」 回収時期: 不明
R0112-03 [数字約束] 有害鳥獣特別捕獲の来年度予算計上（産業建設部長）
    「ＣＳＦ対策でありますけれども、今後数年間続くと言われておる中で、来年度も狩猟が禁止となる可能性は…」 回収時期: R2当初予算（2020-03議会）
R0112-04 [実施約束] ため池ハザードマップの作成期限と防災マップ反映（産業建設部長）
    「ため池ハザードマップでありますけれども、３１の池につきまして、来年１０月までにハザードマップを作…」 回収時期: 2020-10（来年10月まで）
R0112-05 [調査約束] 内水ハザードマップの作成調査（上下水道部長）
    「内水による浸水は河川の堤防の決壊や河川からあふれた水による浸水よりも発生頻度が高く、緊急かつ効率…」 回収時期: 不明
■ R02-03
R0203-01 [実施約束] 乗合タクシー予約システムの令和3年度導入（産業建設部長）
    「乗合タクシーの予約システム等の導入につきましては、三重県の次世代モビリティを活用した事業費補助金…」 回収時期: R3年度（2021年度）導入目標
R0203-02 [実施約束] 紙ベースの乗継案内資料の本年度作成（産業建設部長）
    「議員ご指摘の行き先別といいますか、乗継ぎも含めた紙ベースの資料でありますけれども、これにつきまし…」 回収時期: R2年度内（本年度速やかに）
R0203-03 [実施約束] コミュニティバス時刻のオープンデータ化（産業建設部長）
    「市内コミュニティバスの時刻等のオープンデータ化でございますが、令和２年度から三重県生活交通確保対…」 回収時期: R2年度（2020年度）から
R0203-04 [検討約束] コミュニティバスのICカード対応（産業建設部長）
    「さわやか号などのコミュニティバス６路線につきましては、まだＩＣカード対応化まで至っていないという…」 回収時期: 不明
R0203-05 [実施約束] 森林クラウドシステムの来年度導入（産業建設部長）
    「また、来年度でございますが、三重県森林資源情報管理システムにつなげるための森林クラウドシステムを…」 回収時期: R3年度（来年度＝2021年度）導入予定
R0203-06 [検討約束] 地域主体の移送支援・市民参加型ライドシェアへの支援（市長）
    「また、新たに昼生地区をはじめ地域が主体となるような運行形態についても、この動きについては非常に期…」 回収時期: 不明（地域公共交通会議での検討）
■ R02-06
R0206-01 [検討約束] コロナ後の消費喚起支援策（次の一手）（市長）
    「こうした新型コロナウイルス感染症の影響がある程度落ち着いてきた段階におきまして、これは少しお触れ…」 回収時期: R2年度中（緊急政策パッケージ次弾）
R0206-02 [実施約束] 休校時のオンライン学習機会の提供継続（教育長）
    「先般の臨時休業中もオンライン学習はやっておりました。したがいまして、第２波、第３波における休業と…」 回収時期: 次の一斉休校発生時（常時適用）
R0206-03 [検討約束] 双方向オンライン学習指導の導入（教育長）
    「双方向の、またお互いの顔を見てオンライン会議のような会話もしてというようなところは、研修員という…」 回収時期: 不明（研修員の研究結果待ち）
R0206-04 [ゼロ回答] 選択登校制の導入是非（教育長）
    「さあ、どちらか選択してくださいよ、どちらでも構いませんよとまで積極的に選択を呼びかけることには考…」 回収時期: 感染状況が危機的になった場合（条件付き）
R0206-05 [検討約束] 医療健康（ヘルスケア）産業の誘致（市長）
    「さらにご指摘のような健康ヘルス産業、そしていわゆる医薬品も含みますその周辺分野の産業につきまして…」 回収時期: 不明（継続誘致活動）
■ R02-09
R0209-01 [調査約束] 地域公共交通計画の見直しと全バス路線乗降調査（産業建設部長）
    「この計画につきましては令和３年度が最終年度ということになっております。現在の課題の解決に向けまし…」 回収時期: R3年度（計画見直し年度）
